run_count,safe_epsilon_grid_value,safe_epsilon_is_multiplier,safe_geometry,safe_solver,safe_training_constraint_mode,selection_family,selection_preconditioner,spearman_actual_kl_vs_instruction_degradation,spearman_actual_kl_vs_medqa_accuracy,spearman_actual_kl_vs_reference_degradation,spearman_actual_kl_vs_rho,spearman_actual_kl_vs_target_degradation,spearman_selected_predicted_vs_trained_fisher_cost
4,0.5,True,reference,greedy_marginal,none,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.01_epsm0.5_caln64_calseed42,sgd,-1.0000000000000002,-1.0000000000000002,1.0000000000000002,1.0000000000000002,-1.0000000000000002,0.7745966692414834
4,0.5,True,reference,greedy_marginal,none,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.01_epsm0.5_caln64_calseed43,sgd,1.0,-1.0,1.0,-1.0,1.0,0.0
4,0.5,True,reference,greedy_marginal,none,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.01_epsm0.5_caln64_calseed44,sgd,,,,,,
4,1.0,True,reference,greedy_marginal,none,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.01_epsm1_caln64_calseed42,sgd,,,,,,
4,1.0,True,reference,greedy_marginal,none,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.01_epsm1_caln64_calseed43,sgd,,,-1.0,1.0,1.0,0.0
4,1.0,True,reference,greedy_marginal,none,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.01_epsm1_caln64_calseed44,sgd,,,,,,
4,2.0,True,reference,greedy_marginal,none,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.01_epsm2_caln64_calseed42,sgd,,,,,,
4,2.0,True,reference,greedy_marginal,none,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.01_epsm2_caln64_calseed43,sgd,,-1.0,-1.0,1.0,1.0,0.0
4,2.0,True,reference,greedy_marginal,none,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.01_epsm2_caln64_calseed44,sgd,,,,,,
4,0.5,True,reference,greedy_marginal,none,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.1_epsm0.5_caln64_calseed42,sgd,,,,,,
4,0.5,True,reference,greedy_marginal,none,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.1_epsm0.5_caln64_calseed43,sgd,,-1.0,1.0,1.0,1.0,0.0
4,0.5,True,reference,greedy_marginal,none,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.1_epsm0.5_caln64_calseed44,sgd,,,,,,
4,1.0,True,reference,greedy_marginal,none,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.1_epsm1_caln64_calseed42,sgd,,,,,,
4,1.0,True,reference,greedy_marginal,none,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.1_epsm1_caln64_calseed43,sgd,,1.0,,1.0,-1.0,0.0
4,1.0,True,reference,greedy_marginal,none,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.1_epsm1_caln64_calseed44,sgd,,,,,,
4,2.0,True,reference,greedy_marginal,none,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.1_epsm2_caln64_calseed42,sgd,,,,,,
4,2.0,True,reference,greedy_marginal,none,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.1_epsm2_caln64_calseed43,sgd,,,-1.0000000000000002,1.0000000000000002,1.0000000000000002,0.7745966692414834
4,2.0,True,reference,greedy_marginal,none,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma0.1_epsm2_caln64_calseed44,sgd,,,,,,
4,0.5,True,reference,greedy_marginal,none,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma1_epsm0.5_caln64_calseed42,sgd,,,,,,
4,0.5,True,reference,greedy_marginal,none,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma1_epsm0.5_caln64_calseed43,sgd,,1.0,-1.0,-1.0,-1.0,0.0
4,0.5,True,reference,greedy_marginal,none,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma1_epsm0.5_caln64_calseed44,sgd,,,,,,
4,1.0,True,reference,greedy_marginal,none,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma1_epsm1_caln64_calseed42,sgd,,,,,,
4,1.0,True,reference,greedy_marginal,none,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma1_epsm1_caln64_calseed43,sgd,,-1.0,-1.0,1.0,-1.0,0.0
4,1.0,True,reference,greedy_marginal,none,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma1_epsm1_caln64_calseed44,sgd,,,,,,
4,2.0,True,reference,greedy_marginal,none,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma1_epsm2_caln64_calseed42,sgd,,,,,,
4,2.0,True,reference,greedy_marginal,none,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma1_epsm2_caln64_calseed43,sgd,1.0000000000000002,1.0000000000000002,1.0000000000000002,-1.0000000000000002,1.0000000000000002,0.7745966692414834
4,2.0,True,reference,greedy_marginal,none,safe_low_rank_sgd_reference_greedy_marginal_eta0.0002_metricFplusAlpha_gamma1_epsm2_caln64_calseed44,sgd,,,,,,
