cumulative_delta_theta_norm,cumulative_norm_budget,cumulative_norm_budget_gap,cumulative_norm_budget_ratio,cumulative_norm_budget_satisfied,cumulative_norm_cost,cumulative_reference_budget,cumulative_reference_budget_gap,cumulative_reference_budget_ratio,cumulative_reference_budget_satisfied,cumulative_reference_cost,epoch,estimated_kl_regularization_flops,estimated_sft_flops,estimated_total_flops,estimated_trajectory_diagnostic_flops,estimated_trajectory_generation_flops,instruction_ifeval_proxy_instruction_accuracy,instruction_ifeval_proxy_instruction_accuracy_delta,instruction_ifeval_proxy_prompt_accuracy,instruction_ifeval_proxy_prompt_accuracy_delta,instruction_ifeval_proxy_prompt_count,instruction_ifeval_proxy_supported_instruction_count,instruction_ifeval_proxy_total_instruction_count,instruction_ifeval_proxy_unsupported_instruction_count,instruction_performance_degradation,kl_regularization_lambda,predicted_fisher_cost,realized_heldout_kl,reference_bbq_accuracy,reference_bbq_accuracy_delta,reference_bbq_count,reference_composition_name,reference_medical_reference_count,reference_medical_reference_primary_score,reference_medical_reference_primary_score_delta,reference_medical_reference_supported_count,reference_medical_reference_unsupported_count,reference_performance_degradation,reference_truthfulqa_count,reference_truthfulqa_exact_match,reference_truthfulqa_exact_match_delta,reference_truthfulqa_token_f1,reference_truthfulqa_token_f1_delta,safe_cost_beta,safe_cost_gamma,safe_epsilon,safe_epsilon_calibration_base,safe_epsilon_multiplier,safe_geometry,safe_reference_curvature_q0,safe_rho,safe_solver,safe_training_constraint_mode,safe_training_epsilon,safe_training_epsilon_scale_by_steps,seed,selected_predicted_fisher_cost,selected_predicted_norm_cost,selection_family,selection_method,selection_preconditioner,step,summary_path,target_loss_degradation,target_medqa_accuracy,target_medqa_accuracy_delta,target_medqa_count,target_performance,target_performance_delta,target_performance_delta_actual,target_performance_proxy,target_validation_loss,trained_lora_fisher_cost,type
0.0,,,,,0.0,,,,,0.0,0,0.0,0.0,1060298999898112.0,293797502033920.0,766501497864192.0,0.5,0.0,0.375,0.0,16.0,20.0,20.0,0.0,-0.0,0.0,0.0,3.113461871759914e-09,1.0,0.0,8.0,,16.0,0.6690084954169461,0.0,14.0,2.0,-0.0,6.0,0.0,0.0,0.3380169908338922,0.0,,,,,,,,,,none,,False,42,,,less_random_sketch_sgd,less_random_sketch_sgd,sgd,0,/workspace/safe-drift/outputs/setting_2_medqa_medmcqa_reference_coverage_gamma_v1/repeat_00/olmo7b_instruct/KR64_KT16/pct25.6/baseline_less_no_reference/training_runs/less_random_sketch_sgd_pct25.6_seed42/summary.json,0.0,0.5,0.0,16.0,0.5,-0.0,0.0,-4.026912301778793,4.026912301778793,0.0,trajectory_diagnostics
1.9031710624694824,,,,,1.8089537620544434,,,,,0.00010779895819723606,0,0.0,222083478429696.0,1576179980361728.0,587595004067840.0,766501497864192.0,,,,,,,,,,0.0,0.00010779895819723606,3.965779374627506,,,,,,,,,,,,,,,,,,,,,,,,,none,,False,42,,,less_random_sketch_sgd,less_random_sketch_sgd,sgd,4,/workspace/safe-drift/outputs/setting_2_medqa_medmcqa_reference_coverage_gamma_v1/repeat_00/olmo7b_instruct/KR64_KT16/pct25.6/baseline_less_no_reference/training_runs/less_random_sketch_sgd_pct25.6_seed42/summary.json,-3.181507484185204,,,,,3.181507484185204,,-0.8454048175935895,0.8454048175935895,0.00010779895819723606,trajectory_diagnostics
3.5240800380706787,,,,,6.226293087005615,,,,,0.000362249935278669,0,0.0,430242576310272.0,2078136580276224.0,881392506101760.0,766501497864192.0,,,,,,,,,,0.0,0.000362249935278669,4.586073772580016,,,,,,,,,,,,,,,,,,,,,,,,,none,,False,42,,,less_random_sketch_sgd,less_random_sketch_sgd,sgd,8,/workspace/safe-drift/outputs/setting_2_medqa_medmcqa_reference_coverage_gamma_v1/repeat_00/olmo7b_instruct/KR64_KT16/pct25.6/baseline_less_no_reference/training_runs/less_random_sketch_sgd_pct25.6_seed42/summary.json,-3.337916848809982,,,,,3.337916848809982,,-0.6889954529688112,0.6889954529688112,0.000362249935278669,trajectory_diagnostics
4.454667568206787,,,,,9.96119213104248,,,,,0.0005742048379033804,0,0.0,647837000712192.0,2589528506712064.0,1175190008135680.0,766501497864192.0,,,,,,,,,,0.0,0.0005742048379033804,4.781548041923373,,,,,,,,,,,,,,,,,,,,,,,,,none,,False,42,,,less_random_sketch_sgd,less_random_sketch_sgd,sgd,12,/workspace/safe-drift/outputs/setting_2_medqa_medmcqa_reference_coverage_gamma_v1/repeat_00/olmo7b_instruct/KR64_KT16/pct25.6/baseline_less_no_reference/training_runs/less_random_sketch_sgd_pct25.6_seed42/summary.json,-3.247357135602215,,,,,3.247357135602215,,-0.7795551661765785,0.7795551661765785,0.0005742048379033804,trajectory_diagnostics
5.071834087371826,,,,,12.913433074951172,,,,,0.0007321092416532338,0,0.0,871666222374912.0,3873656728272896.0,1468987510169600.0,1533002995728384.0,0.55,0.050000000000000044,0.4375,0.0625,16.0,20.0,20.0,0.0,-0.050000000000000044,0.0,0.0007321092416532338,4.835977984409706,1.0,0.0,8.0,,16.0,0.6178324549014205,-0.0511760405155256,14.0,2.0,0.0511760405155256,6.0,0.0,0.0,0.23566490980284083,-0.10235208103105137,,,,,,,,,,none,,False,42,,,less_random_sketch_sgd,less_random_sketch_sgd,sgd,16,/workspace/safe-drift/outputs/setting_2_medqa_medmcqa_reference_coverage_gamma_v1/repeat_00/olmo7b_instruct/KR64_KT16/pct25.6/baseline_less_no_reference/training_runs/less_random_sketch_sgd_pct25.6_seed42/summary.json,-3.3819662626920035,0.4375,-0.0625,16.0,0.4375,3.3819662626920035,-0.0625,-0.6449460390867898,0.6449460390867898,0.0007321092416532338,trajectory_diagnostics
5.509047985076904,,,,,15.235265731811523,,,,,0.0008470164029859006,0,0.0,1088221513900032.0,4384009521831936.0,1762785012203520.0,1533002995728384.0,,,,,,,,,,0.0,0.0008470164029859006,5.008211135864258,,,,,,,,,,,,,,,,,,,,,,,,,none,,False,42,,,less_random_sketch_sgd,less_random_sketch_sgd,sgd,20,/workspace/safe-drift/outputs/setting_2_medqa_medmcqa_reference_coverage_gamma_v1/repeat_00/olmo7b_instruct/KR64_KT16/pct25.6/baseline_less_no_reference/training_runs/less_random_sketch_sgd_pct25.6_seed42/summary.json,-3.3117181692359736,,,,,3.3117181692359736,,-0.7151941325428197,0.7151941325428197,0.0008470164029859006,trajectory_diagnostics
5.849196434020996,,,,,17.18245506286621,,,,,0.000931623624637723,0,0.0,1319407796330496.0,4908993306296320.0,2056582514237440.0,1533002995728384.0,,,,,,,,,,0.0,0.000931623624637723,5.002524216969808,,,,,,,,,,,,,,,,,,,,,,,,,none,,False,42,,,less_random_sketch_sgd,less_random_sketch_sgd,sgd,24,/workspace/safe-drift/outputs/setting_2_medqa_medmcqa_reference_coverage_gamma_v1/repeat_00/olmo7b_instruct/KR64_KT16/pct25.6/baseline_less_no_reference/training_runs/less_random_sketch_sgd_pct25.6_seed42/summary.json,-3.4424172693979926,,,,,3.4424172693979926,,-0.5844950323808007,0.5844950323808007,0.000931623624637723,trajectory_diagnostics
6.092248439788818,,,,,18.649526596069336,,,,,0.0009916441049426794,0,0.0,1523368797388800.0,5406751809388544.0,2350380016271360.0,1533002995728384.0,,,,,,,,,,0.0,0.0009916441049426794,5.038501019571342,,,,,,,,,,,,,,,,,,,,,,,,,none,,False,42,,,less_random_sketch_sgd,less_random_sketch_sgd,sgd,28,/workspace/safe-drift/outputs/setting_2_medqa_medmcqa_reference_coverage_gamma_v1/repeat_00/olmo7b_instruct/KR64_KT16/pct25.6/baseline_less_no_reference/training_runs/less_random_sketch_sgd_pct25.6_seed42/summary.json,-3.4815139114507474,,,,,3.4815139114507474,,-0.5453983903280459,0.5453983903280459,0.0009916441049426794,trajectory_diagnostics
6.259739875793457,,,,,19.69509506225586,,,,,0.0010326321935281157,0,0.0,1733232073187328.0,6676914085085184.0,2644177518305280.0,2299504493592576.0,0.55,0.050000000000000044,0.4375,0.0625,16.0,20.0,20.0,0.0,-0.050000000000000044,0.0,0.0010326321935281157,5.135085171344233,1.0,0.0,8.0,,16.0,0.6092413778172292,-0.05976711759971687,14.0,2.0,0.05976711759971687,6.0,0.0,0.0,0.2184827556344584,-0.11953423519943379,,,,,,,,,,none,,False,42,,,less_random_sketch_sgd,less_random_sketch_sgd,sgd,32,/workspace/safe-drift/outputs/setting_2_medqa_medmcqa_reference_coverage_gamma_v1/repeat_00/olmo7b_instruct/KR64_KT16/pct25.6/baseline_less_no_reference/training_runs/less_random_sketch_sgd_pct25.6_seed42/summary.json,-3.4169515159301227,0.5,0.0,16.0,0.5,3.4169515159301227,0.0,-0.6099607858486706,0.6099607858486706,0.0010326321935281157,trajectory_diagnostics
6.408350944519043,,,,,20.6439151763916,,,,,0.0010633524507284164,1,0.0,1937400900820992.0,7174880414752768.0,2937975020339200.0,2299504493592576.0,,,,,,,,,,0.0,0.0010633524507284164,5.21905096839456,,,,,,,,,,,,,,,,,,,,,,,,,none,,False,42,,,less_random_sketch_sgd,less_random_sketch_sgd,sgd,36,/workspace/safe-drift/outputs/setting_2_medqa_medmcqa_reference_coverage_gamma_v1/repeat_00/olmo7b_instruct/KR64_KT16/pct25.6/baseline_less_no_reference/training_runs/less_random_sketch_sgd_pct25.6_seed42/summary.json,-3.325238583551254,,,,,3.325238583551254,,-0.7016737182275392,0.7016737182275392,0.0010633524507284164,trajectory_diagnostics
