"solver_configuration","training_optimizer","selector_solver","selector_preconditioner","adam_selection_mode","safe_training_constraint_mode","reference_composition","seed","safe_epsilon_multiplier","safe_cost_gamma","rho","log10_rho","reference_kl","fisher_cost","fisher_cost_milli","target_accuracy","reference_drift_pp"
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_K",42,0.5,0.01,9.84703414810379e-06,-5.00669455600687,9.49441851373899,0.00123405968770385,1.23405968770385,0.3984375,23.4834470517115
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_K",43,0.5,0.01,6.46823266264008e-06,-5.18921436689127,9.10594594070759,0.00115465477574617,1.15465477574617,0.41015625,1.80294474781678
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_K",44,0.5,0.01,5.71601665728023e-06,-5.24290651428374,9.75202355936944,0.00115446315612644,1.15446315612644,0.44921875,12.6278709036062
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_K",42,0.5,0.1,6.56148301868465e-05,-4.18299799080114,9.2394949038387,0.0012196620227769,1.2196620227769,0.4453125,17.2334470517115
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_K",43,0.5,0.1,6.02333793091755e-05,-4.22016277066376,9.6239644371422,0.00117815076373518,1.17815076373518,0.41796875,10.3904538255219
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_K",44,0.5,0.1,5.71601665728023e-05,-4.24290651428374,9.16653783549501,0.00111945462413132,1.11945462413132,0.4765625,0.809689085424375
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_K",42,0.5,1,0.000672672752241585,-3.17219616380046,9.20479558317592,0.00118391343858093,1.18391343858093,0.46484375,20.2842609359419
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_K",43,0.5,1,0.000646823266264008,-3.18921436689127,9.4446818148154,0.00115835072938353,1.15835072938353,0.4296875,2.0571204921886
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_K",44,0.5,1,0.000571601665728023,-3.24290651428374,9.27052424737038,0.00116183061618358,1.16183061618358,0.4765625,2.62787090360619
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_K",42,1,0.01,2.62459320747386e-05,-4.58093799947317,9.58707246360647,0.00118317850865424,1.18317850865424,0.41015625,17.4325709067493
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_K",43,1,0.01,2.58729306505603e-05,-4.5871543755633,9.26201643598377,0.00116008426994085,1.16008426994085,0.39453125,1.80294474781678
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_K",44,1,0.01,2.28640666291209e-05,-4.64084652295577,9.33685310152224,0.00114548159763217,1.14548159763217,0.4765625,0.809689085424375
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_K",42,1,0.1,0.000262459320747386,-3.58093799947318,8.7503740702157,0.00122363225091249,1.22363225091249,0.44921875,17.812437953283
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_K",43,1,0.1,0.000258729306505603,-3.5871543755633,9.49259110380002,0.00116030150093138,1.16030150093138,0.4296875,1.80294474781678
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_K",44,1,0.1,0.000228640666291209,-3.64084652295577,9.40239750154129,0.00116390595212579,1.16390595212579,0.484375,10.8096890854244
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_K",42,1,1,0.00262459320747386,-2.58093799947318,9.69519029392142,0.00120250962208956,1.20250962208956,0.47265625,10.9834470517115
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_K",43,1,1,0.00258729306505603,-2.5871543755633,9.48291810861151,0.001159951207228,1.159951207228,0.44921875,-0.323831888763776
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_K",44,1,1,0.00228640666291209,-2.64084652295577,9.5708329341128,0.00118375453166664,1.18375453166664,0.4453125,12.6278709036062
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_K",42,2,0.01,0.000104983728298954,-3.97887800814521,8.97359583631797,0.00121168920304626,1.21168920304626,0.43359375,20.022111309001
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_K",43,2,0.01,0.000103491722602241,-3.98509438423534,9.64286443988512,0.00117199029773474,1.17199029773474,0.39453125,2.0571204921886
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_K",44,2,0.01,9.14562665164837e-05,-4.03878653162781,9.03479872777968,0.0011560395359993,1.1560395359993,0.4375,0.809689085424375
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_K",42,2,0.1,0.00104983728298954,-2.97887800814521,9.01984318735374,0.00120284513104707,1.20284513104707,0.46484375,12.5191094207904
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_K",43,2,0.1,0.00154973385762836,-2.80974287866049,9.7388463379987,0.00115841801743954,1.15841801743954,0.4375,1.80294474781678
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_K",44,2,0.1,0.000914562665164837,-3.03878653162781,9.41829133145992,0.00116482633166015,1.16482633166015,0.44921875,-8.28122000548471
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_K",42,2,1,0.0104983728298954,-1.97887800814521,9.28221100321846,0.00117489974945784,1.17489974945784,0.4609375,7.522111309001
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_K",43,2,1,0.0154973385762836,-1.80974287866049,9.01633884249646,0.00111567205749452,1.11567205749452,0.40234375,-3.55339644185774
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_K",44,2,1,0.00914562665164837,-2.03878653162781,9.68309960147362,0.00113277102354914,1.13277102354914,0.41796875,-9.19031091457562
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T",42,0.5,0.01,6.80005528974383e-06,-5.16748755612714,8.98399310168696,0.000616766570601612,0.616766570601612,0.44140625,17.8501453439316
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T",43,0.5,0.01,6.46823266264008e-06,-5.18921436689127,9.10594594070759,0.000602812157012522,0.602812157012522,0.41015625,1.80294474781678
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T",44,0.5,0.01,5.71601665728023e-06,-5.24290651428374,9.75202355936944,0.000561513821594417,0.561513821594417,0.44921875,12.6278709036062
"train=adamw | greedy_marginal | preconditioner=sgd","adamw","greedy_marginal","sgd","none","none","B_T",42,0.5,0.1,6.56148301868465e-05,-4.18299799080114,9.2394949038387,0.000610462739132345,0.610462739132345,0.4453125,17.2334470517115
