"solver_configuration","reference_composition","panel","x_metric","y_metric","n","estimate","p_value"
"train=adamw | greedy_marginal | preconditioner=sgd","B_T","KL vs Fisher","trained_lora_fisher_cost_mean","mean_reference_kl_mean",9,-0.466666666666667,0.205386351105812
"train=adamw | greedy_marginal | preconditioner=sgd","B_T","Accuracy vs rho","safe_rho_mean","target_medqa_accuracy_mean",9,0.4,0.286105101908313
"train=adamw | greedy_marginal | preconditioner=sgd","B_T","Reference drift vs rho","safe_rho_mean","reference_performance_degradation_mean",9,-0.566666666666667,0.111632987611491
"train=adamw | greedy_marginal | preconditioner=sgd","B_T","Accuracy vs reference drift","reference_performance_degradation_mean","target_medqa_accuracy_mean",9,0.35,0.355819572501789
"train=adamw | greedy_marginal | preconditioner=sgd","B_K","KL vs Fisher","trained_lora_fisher_cost_mean","mean_reference_kl_mean",9,0.0166666666666667,0.966054803994686
"train=adamw | greedy_marginal | preconditioner=sgd","B_K","Accuracy vs rho","safe_rho_mean","target_medqa_accuracy_mean",9,0.54393781569122,0.130054688990847
"train=adamw | greedy_marginal | preconditioner=sgd","B_K","Reference drift vs rho","safe_rho_mean","reference_performance_degradation_mean",9,-0.566666666666667,0.111632987611491
"train=adamw | greedy_marginal | preconditioner=sgd","B_K","Accuracy vs reference drift","reference_performance_degradation_mean","target_medqa_accuracy_mean",9,0.0502096445253434,0.897928395470323
"train=adamw | greedy_marginal | preconditioner=sgd","T_K","KL vs Fisher","trained_lora_fisher_cost_mean","mean_reference_kl_mean",9,0.15,0.700094230969142
"train=adamw | greedy_marginal | preconditioner=sgd","T_K","Accuracy vs rho","safe_rho_mean","target_medqa_accuracy_mean",9,0.411779245339849,0.270805245980022
"train=adamw | greedy_marginal | preconditioner=sgd","T_K","Reference drift vs rho","safe_rho_mean","reference_performance_degradation_mean",9,-0.4,0.286105101908313
"train=adamw | greedy_marginal | preconditioner=sgd","T_K","Accuracy vs reference drift","reference_performance_degradation_mean","target_medqa_accuracy_mean",9,0.134458529090563,0.730176636962715
"train=adamw | greedy_marginal | preconditioner=sgd","B_T_K","KL vs Fisher","trained_lora_fisher_cost_mean","mean_reference_kl_mean",9,0.15,0.700094230969142
"train=adamw | greedy_marginal | preconditioner=sgd","B_T_K","Accuracy vs rho","safe_rho_mean","target_medqa_accuracy_mean",9,0.411779245339849,0.270805245980022
"train=adamw | greedy_marginal | preconditioner=sgd","B_T_K","Reference drift vs rho","safe_rho_mean","reference_performance_degradation_mean",9,-0.4,0.286105101908313
"train=adamw | greedy_marginal | preconditioner=sgd","B_T_K","Accuracy vs reference drift","reference_performance_degradation_mean","target_medqa_accuracy_mean",9,0.134458529090563,0.730176636962715
