reference_composition,seed,safe_epsilon_multiplier,safe_cost_gamma,safe_rho,accuracy_pct,reference_degradation_pp,mean_reference_kl,fisher_cost_x1e3,safe_selected_reference_budget_satisfied,safe_trace_all_reference_budget_satisfied,all_cumulative_reference_constraints_satisfied
B_K,42,0.5,0.01,0.0142821048435438,46.875,11.944285541937601,7.2160224410620755,0.15312376490319998,True,True,True
B_K,42,0.5,0.1,0.1428210484354382,42.96875,17.61760405155256,7.722428470701099,0.318024714943,True,True,True
B_K,42,0.5,1.0,1.4282104843543824,48.4375,18.865551506396567,9.192859207242895,0.8815315086394,True,True,True
B_K,42,1.0,0.01,0.0571284193741752,43.359375,10.73221793229547,7.765685859125504,0.30837903614150003,True,True,True
B_K,42,1.0,0.1,0.571284193741753,44.921875,10.79942223337074,8.46817642280658,0.5715984152629,True,True,True
B_K,42,1.0,1.0,5.712841937417529,42.1875,10.0956407207657,9.26508733337977,1.1298512108623,True,True,True
B_K,42,2.0,0.01,0.2285136774967011,41.796875,21.784270718219233,8.343650322695334,0.5087199970148,True,True,True
B_K,42,2.0,0.1,2.285136774967012,46.875,9.28427071821923,9.24368960497002,0.8671118412166,True,True,True
B_K,42,2.0,1.0,22.85136774967012,44.921875,8.03880447275299,9.361040663056832,1.1744865914806,True,True,True
B_T,42,0.5,0.01,0.0142821048435438,46.875,11.944285541937601,7.2160224410620755,0.07716174877714366,True,True,True
B_T,42,0.5,0.1,0.1428210484354382,42.96875,17.61760405155256,7.722428470701099,0.158873386681,True,True,True
B_T,42,0.5,1.0,1.4282104843543824,48.4375,18.865551506396567,9.192859207242895,0.442211079644,True,True,True
B_T,42,1.0,0.01,0.0571284193741752,43.359375,10.73221793229547,7.765685859125504,0.15414475637949998,True,True,True
B_T,42,1.0,0.1,0.571284193741753,44.921875,10.79942223337074,8.46817642280658,0.2859964733943,True,True,True
B_T,42,1.0,1.0,5.712841937417529,42.1875,10.0956407207657,9.26508733337977,0.5670154932886,True,True,True
B_T,42,2.0,0.01,0.2285136774967011,41.796875,21.784270718219233,8.343650322695334,0.25368740898549996,True,True,True
B_T,42,2.0,0.1,2.285136774967012,46.875,9.28427071821923,9.24368960497002,0.4367537330836,True,True,True
B_T,42,2.0,1.0,22.85136774967012,44.921875,8.03880447275299,9.361040663056832,0.588106631767,True,True,True
B_T_K,42,0.5,0.01,0.0142821048435438,46.875,11.944285541937601,7.2160224410620755,0.1060095455613,True,True,True
B_T_K,42,0.5,0.1,0.1428210484354382,42.96875,17.61760405155256,7.722428470701099,0.2200061862822,True,True,True
B_T_K,42,0.5,1.0,1.4282104843543824,48.4375,18.865551506396567,9.192859207242895,0.6085069617255999,True,True,True
B_T_K,42,1.0,0.01,0.0571284193741752,43.359375,10.73221793229547,7.765685859125504,0.2133080124622,True,True,True
B_T_K,42,1.0,0.1,0.571284193741753,44.921875,10.79942223337074,8.46817642280658,0.3946158685721,True,True,True
B_T_K,42,1.0,1.0,5.712841937417529,42.1875,10.0956407207657,9.26508733337977,0.7814497803337,True,True,True
B_T_K,42,2.0,0.01,0.2285136774967011,41.796875,21.784270718219233,8.343650322695334,0.3517558216117,True,True,True
B_T_K,42,2.0,0.1,2.285136774967012,46.875,9.28427071821923,9.24368960497002,0.5992670776322,True,True,True
B_T_K,42,2.0,1.0,22.85136774967012,44.921875,8.03880447275299,9.361040663056832,0.8122524595819,True,True,True
T_K,42,0.5,0.01,0.0142821048435438,46.875,11.944285541937601,7.2160224410620755,0.08297998283524066,True,True,True
T_K,42,0.5,0.1,0.1428210484354382,42.96875,17.61760405155256,7.722428470701099,0.1729521463857,True,True,True
T_K,42,0.5,1.0,1.4282104843543824,48.4375,18.865551506396567,9.192859207242895,0.4759604344144,True,True,True
T_K,42,1.0,0.01,0.0571284193741752,43.359375,10.73221793229547,7.765685859125504,0.1677014224696,True,True,True
T_K,42,1.0,0.1,0.571284193741753,44.921875,10.79942223337074,8.46817642280658,0.3094338462688,True,True,True
T_K,42,1.0,1.0,5.712841937417529,42.1875,10.0956407207657,9.26508733337977,0.6153613212518001,True,True,True
T_K,42,2.0,0.01,0.2285136774967011,41.796875,21.784270718219233,8.343650322695334,0.2763347583822,True,True,True
T_K,42,2.0,0.1,2.285136774967012,46.875,9.28427071821923,9.24368960497002,0.46852760715409997,True,True,True
T_K,42,2.0,1.0,22.85136774967012,44.921875,8.03880447275299,9.361040663056832,0.6381108541971999,True,True,True
